,Año,USD mex,USD ch,dG/dt (mex),dG/dt (ch),E mex,E ch,dE/dt mex,dE/dt ch
0,2004,34372500000.0,6493000000.0,0.0,0.0,4416313,248235,0.0,0.0
1,2005,34437200000.0,6944000000.0,64700000.0,451000000.0,4539477,248169,123164.0,-66.0
2,2006,38459500000.0,8485000000.0,4022300000.0,1541000000.0,4658305,278142,118828.0,29973.0
3,2007,41664500000.0,9633000000.0,3205000000.0,1148000000.0,4922227,299953,263922.0,21811.0
4,2008,45615700000.0,10637000000.0,3951200000.0,1004000000.0,5123675,315315,201448.0,15362.0
5,2009,47426100000.0,13059000000.0,1810400000.0,2422000000.0,5243898,310591,120223.0,-4724.0
6,2010,50059300000.0,12633000000.0,2633200000.0,-426000000.0,5314132,312079,70234.0,1488.0
7,2011,55559300000.0,13906000000.0,5500000000.0,1273000000.0,5517139,312854,203007.0,775.0
8,2012,60424000000.0,15544000000.0,4864700000.0,1638000000.0,5641719,335028,124580.0,22174.0
9,2013,63834000000.0,17332000000.0,3410000000.0,1788000000.0,5658137,376203,16418.0,41175.0
10,2014,61812600000.0,18402000000.0,-2021400000.0,1070000000.0,6368082,387397,709945.0,11194.0
11,2015,67337899999.99999,19439000000.0,5525299999.999992,1037000000.0,6260155,462223,-107927.0,74826.0
12,2016,69397600000.0,20628000000.0,2059700000.0000076,1189000000.0,5608991,464848,-651164.0,2625.0
13,2017,68931300000.0,23481000000.0,-466300000.0,2853000000.0,5727910,445873,118919.0,-18975.0
14,2018,69797400000.0,25800000000.0,866100000.0,2319000000.0,5635856,464330,-92054.0,18457.0
15,2019,70659700000.0,27781000000.0,862300000.0,1981000000.0,5775097,442149,139241.0,-22181.0
16,2020,81600600000.0,31616000000.0,10940900000.0,3835000000.0,4354266,373379,-1420831.0,-68770.0
