Año,FBKF (mill USD),FBKF (mmdp MXN)
2005,"27,235",499.49
2006,"30,737",563.72
2007,"35,963",659.56
2008,"45,947",842.67
2009,"38,803",711.65
2010,"47,094",863.7
2011,"58,357","1,070.27"
2012,"66,411","1,217.98"
2013,"73,090","1,340.47"
2014,"66,119","1,212.62"
2015,"61,753","1,132.55"
2016,"60,165","1,103.43"
2017,"61,465","1,127.27"
2018,"68,195","1,250.70"
2019,"68,318","1,252.95"
2020,"57,327","1,051.38"
2021,"73,268","1,343.74"
2022,"77,394","1,419.41"
2023,"77,109","1,414.18"
